Epoch,Text_id_setup_0502,Text_id_setup_0503
1633021200,29.295,77.593
1633024800,29.2742,77.593
1633028400,29.095,77.593
1633032000,29.095,77.593
1633035600,29.095,79.559
1633039200,29.095,79.6
1633042800,28.8861,80.8048
1633046400,28.87,81.608
1633050000,29.0933,80.8844
1633053600,29.7671,78.4968
1633057200,29.7228,76.5673
1633060800,30.6824,71.5815
1633064400,31.3607,65.959
1633068000,31.3918,64.8438
1633071600,31.5063,67.379
1633075200,31.0826,69.5922
1633078800,30.1929,74.4367
1633082400,30.0863,77.1596
1633086000,30.141,77.442
1633089600,29.7489,75.9158
1633093200,29.4135,75.4421
1633096800,28.3312,75.2628
1633100400,28.472,77.2333
1633104000,28.6385,76.529
1633107601,28.6353,75.384
1633111201,28.3177,75.5071
1633114801,28.1041,78.7015
1633118401,28.051,79.411
1633122001,27.9328,79.411
1633125601,27.626,80.3029
1633129201,27.3558,81.425
1633132801,27.6553,81.425
1633136401,28.3203,79.7033
1633140001,29.1603,76.4955
1633143601,29.3897,76.56
1633147201,28.8963,79.397
1633150801,29.2322,78.5018
1633154401,29.85,75.3631
1633158001,30.0969,73.5406
1633161601,30.0995,73.0343
1633165201,29.917,72.6903
1633168801,28.2887,75.8176
1633172401,27.2409,80.2806
1633176001,26.9342,83.29
1633179601,26.8249,83.29
1633183201,26.793,83.29
1633186801,26.8132,82.0584
1633190401,27.004,81.285
1633194000,27.088,81.285
1633197600,27.3797,81.285
1633201200,27.4015,81.285
1633204800,27.244,81.285
1633208400,27.0537,81.285
1633212000,27.1439,81.285
1633215600,27.244,81.285
1633219200,27.2485,81.285
1633222800,27.5706,81.0082
1633226400,28.4233,76.9038
1633230000,28.9859,73.7032
1633233600,29.2256,73.204
1633237200,29.2344,73.204
1633240800,29.609,72.8867
1633244400,29.8628,71.189
1633248000,30.1443,68.5428
1633251600,30.0851,69.5551
1633255200,29.818,71.171
1633258800,29.7752,71.171
1633262400,29.575,71.5646
1633266000,29.575,74.5502
1633269600,29.433,76.2872
1633273200,29.164,77.229
1633276800,29.164,77.229
1633280401,29.1013,77.229
1633284001,28.953,78.7926
1633287601,28.8329,79.237
1633291201,28.5786,79.237
1633294801,28.529,79.237
1633298401,28.529,79.237
1633302001,28.4712,79.237
1633305601,28.3681,79.237
1633309201,28.6381,79.237
1633312801,29.2725,79.237
1633316401,29.6906,78.4179
1633320001,30.128,75.2052
1633323601,30.1531,73.176
1633327201,30.1912,71.7439
1633330801,30.6879,69.9956
1633334401,31.0099,68.6987
1633338001,31.2947,65.4937
1633341601,31.2914,66.2248
1633345201,30.6191,71.2881
1633348801,30.0536,74.9431
1633352401,29.6769,72.7958
1633356001,27.68,75.112
1633359601,28.7587,72.1306
1633363201,29.151,71.07
1633366800,28.9896,71.07
1633370400,28.94,73.4391
1633374000,28.6602,76.221
1633377600,28.31,79.0778
1633381200,28.304,79.115
1633384800,28.1537,79.6879
1633388400,27.893,81.12
1633392000,28.045,81.12
1633395600,28.3113,80.9577
1633399200,28.5783,79.081
1633402800,29.2064,77.1102
1633406400,29.8779,74.4718
1633410000,30.501,71.5681
1633413600,30.8736,68.7361
1633417200,30.9545,67.7407
1633420800,30.276,70.7404
1633424400,30.4544,69.093
1633428000,30.6057,69.1054
1633431600,30.0025,73.3902
1633435200,29.003,76.9232
1633438800,28.7067,77.209
1633442400,29.1317,79.0711
1633446000,29.151,79.214
1633449600,29.0815,75.9503
1633453201,28.8684,78.8387
1633456801,28.729,79.5683
1633460401,28.7025,81.224
1633464001,28.529,81.224
1633467601,28.2749,81.224
1633471201,28.3318,81.224
1633474801,28.529,81.224
1633478401,28.4539,81.224
1633482001,28.529,81.224
1633485601,28.8311,80.5636
1633489201,29.1922,78.8764
1633492801,29.653,75.6059
1633496401,29.885,75.155
1633500001,29.6766,75.5062
1633503601,29.4446,77.156
1633507201,29.6544,76.5463
1633510801,29.6829,76.2766
1633514401,29.16,76.3202
1633518001,28.83,80.2649
1633521601,28.9256,81.127
1633525201,29.164,81.127
1633528801,29.1425,83.0092
1633532401,29.0475,83.132
1633536001,29.2042,81.129
1633539600,29.1303,81.129
1633543200,28.742,83.1165
1633546800,28.742,83.137
1633550400,28.6488,83.137
1633554000,28.4334,83.137
1633557600,28.5165,83.137
1633561200,28.529,83.137
1633564800,28.529,83.137
1633568400,28.6778,83.1123
1633572000,29.3871,79.3351
1633575600,29.3926,77.2254
1633579200,29.134,77.0588
1633582800,30.1513,73.6005
1633586400,30.3101,73.152
1633590000,30.7516,70.0751
1633593600,31.0221,67.6118
1633597200,31.2571,66.937
1633600800,30.9084,68.7642
1633604400,30.5436,71.8348
1633608000,28.5747,77.9456
1633611600,27.2685,82.6515
1633615200,28.0978,82.454
1633618800,28.203,80.996
1633622400,27.9448,80.996
1633626001,28.291,80.996
1633629601,28.1571,80.996
1633633201,28.08,80.996
1633636801,28.08,80.996
1633640401,27.9102,80.996
1633644001,27.88,80.996
1633647601,27.88,80.996
1633651201,27.88,80.996
1633654801,28.2414,80.996
1633658401,29.0203,80.1322
1633662001,29.5222,77.3687
1633665601,29.9209,75.4247
1633669201,30.6353,72.2763
1633672801,31.047,70.877
1633676401,31.047,68.1946
1633680001,31.047,68.89
1633683601,30.9448,70.8386
1633687201,30.2992,70.896
1633690801,30.0117,72.5983
1633694401,29.8274,74.9292
1633698001,29.575,76.931
1633701601,29.4057,76.931
1633705201,29.164,78.5628
1633708801,29.164,78.941
1633712400,29.0307,78.941
1633716000,28.742,80.0243
1633719600,28.742,80.944
1633723200,28.6035,79.512
1633726800,28.529,78.926
1633730400,28.4336,80.3857
1633734000,28.3823,80.9638
1633737600,28.318,82.936
1633741200,28.6449,82.936
1633744800,29.0447,82.4932
1633748400,29.5616,79.1806
1633752000,30.1191,75.0355
1633755600,30.4946,72.842
1633759200,30.9943,70.3337
1633762800,30.3958,70.4899
1633766400,29.552,76.3937
1633770000,28.8262,78.903
1633773600,27.8763,79.535
1633777200,27.783,80.914
1633780800,28.0945,80.914
1633784400,28.26,80.914
1633788000,28.6689,80.914
1633791600,28.673,82.0942
1633795200,28.673,81.1175
1633798801,28.673,80.908
1633802401,28.6045,81.6665
1633806001,28.3676,82.928
1633809601,28.262,82.928
1633813201,28.1681,82.928
1633816801,28.051,84.5148
1633820401,28.051,84.933
1633824001,28.0648,84.933
1633827601,28.3464,84.4446
1633831201,28.6655,82.6507
1633834801,29.4048,78.4632
1633838401,30.0345,73.3775
1633842001,30.4926,71.4881
1633845601,31.0998,67.8679
1633849201,30.9079,70.86
1633852801,30.8277,71.1721
1633856401,30.283,75.3998
1633860001,29.322,82.958
1633863601,29.322,82.958
1633867201,29.322,82.958
1633870801,29.322,82.958
1633874401,29.322,82.786
1633878001,29.322,80.955
1633881601,29.322,80.955
1633885200,29.1535,80.955
1633888800,28.9431,80.955
1633892400,28.897,80.955
1633896000,28.8363,82.6345
1633899600,28.686,82.972
1633903200,28.5355,82.972
1633906800,28.472,82.972
1633910400,28.472,82.972
1633914000,28.2775,82.972
1633917600,28.8601,82.972
1633921200,29.3724,81.4804
1633924800,28.8641,76.983
1633928400,29.0521,73.507
1633935081,29.247,76.034
1633938681,29.5674,76.034
1633942281,29.7608,76.034
1633945881,29.7457,76.034
1633949481,29.5001,78.0477
